text,drag_queen,season
"Love you all. Turn it out... Shangela ""DJ"" ",Shangela,2
Be Safe Bitch N.P. Brooks,Nicole Paige Brooks,2
Balls 2 the Walls. Fishes or Bitches. You pick. Mystique.,Mystique,2
?? XO Son!que Trust,Sonique,2
All you have to do is DREAM! Morgan XOXO!,Morgan McMichaels,2
"Live, Love and Believe!!! XO. Sahara",Sahara Davenport,2
I love you girls! Viva P.R.! JW.,Jessica Wild,2
"Lick this Boxx, bitch. XOXO Love you all Pandora Boxx",Pandora Boxx,2
Do you 2 the FULLEST! Love TATI,Tatiana,2
"You are your own worst critic... let go, forgive, & live. Love, Juju B.",Jujubee,2
Keep your eyes on the stars... you'll never be one - Raven,Raven,2
"Don't be shady!!, Be a Lady!, Love ya, Venus D-Lite",Venus D-Lite,3
"Be You Bitches (Boots) Loves, Phoenix",Phoenix,3
mimiimfurst.com 'life is too short to live someone else's',Mimi Imfurst,3
"Never Give Up, You're all stars...India Ferrah",India Ferrah,3
Condragulations Raja. Mug4Dayz! Mariah,Mariah,3
Be a lady! You're All Amazing. Stacy Layne 'Bryant' Matthews Jig...,Stacey Layne Matthews,3
WORK HEATHERS xoxo Delta,Delta Work,3
Heathers better win.,Carmen Carrera,3
Always live your dreams and believe in second chances. Halleloo! Love Shangela,Shangela,3
Good bye AGAIN!! Best of luck to everyone. Turn it out & don't be a sprepper! xoxo Carmen,Carmen Carrera,3
"Echa pa' lante, no mires pa' atras pa' coger impulso, and you know what f&%k you haha",Yara Sofia,3
"Always know your place. The jig is up!!! Siempre, Alexis",Alexis Matteo,3
Positive Always! I Love You Mommy & Daddy! Manila Luzon :),Manila Luzon,3
Keep it cute ladies! Shady sisters 4-ever! ? Alisa,Alisa Summers,4
Stay true 2 U + xoxo good luck! ?Beyond!,LaShauwn Beyond,4
This is (only) the begining! Much Love - The Princess / I ? U DIDA RITZ!,The Princess,4
"Girls: Stay humble... People go up... You'll be on the way down! Kisses MLQ / Chad, Sharon, Milan, Dita = True Friends / Kenya : Botate Mami!",Madame LaQueer,4
I'll be waiting for you in my kindom  / Phi-Phi - I love you - sisters 4 ever,Kenya Michaels,4
"Say love n show love / Colored girl, why yo base look like chalk ? / Jiggly REPRESENT / Dwayne Milan",Milan,4
To my Bitchez / <3 y'all 2 Death! / C U @ da Reunion / Keep it Real Luv the Dusty 'RPDR' Girls! <3 / Shady / I can get [censored] now! / <3 Dida / Jiggly Caliente,Jiggly Caliente,4
"Hi, I showed my ass (a lot) so here's one for the road. Willam.",Willam,4
"Ms. Cheese loves you! Stay true 2 U girl Chad, needles, latrice XXX P.S. Phi Phi: Thank love u",Dida Ritz,4
"Girl I say goodbye again! Thank your love. When I left this competition, I felt loved. I love you, and the winner is... I don't know. Kiss K.M.",Kenya Michaels,4
"My divas Remember who you are, and what you stand for I love you and miss you all. Stay fierce!! Latrice Royale",Latrice Royale,4
You ARE ALL STARS smooches PT,Penny Tration,5
"God bless America, Viva Panama, Keep bearing light QUEENS xoxo Serena ChaCha",Serena Chacha,5
"Love all of u guys, And never be a victim -?- Monica Beverly Hillz",Monica Beverly Hillz,5
"I love all my girls! Here's to the revolution of the FISH! ? Always, Vivienne Pinay",Vivienne Pinay,5
"Keep on loving each other, we will meet again, I can't wait. All my l?ve, Honey Mahogany",Honey Mahogany,5
